direction,train_no,destination_station,service,start_station,start_time,transfer_station,transfer_time,arrival_station,arrival_time,seat
順行,自強102,往:七堵,每日行駛。,3390-員林,05:24,,,,,
順行,區間2120,往:北湖,每日行駛。,3390-員林,05:32,,,,,
順行,自強(3000)472,往:臺東,每日行駛。本列次不發售無座票，非持本班次車票旅客，請勿搭乘。 第6節為騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,06:00,,,,,▲ reserved
順行,區間2124,往:北湖,每日行駛。,3390-員林,06:04,,,,,
順行,區間2128,往:銅鑼,每日行駛。,3390-員林,06:23,,,,,
順行,區間2134,往:基隆,每日行駛。,3390-員林,06:40,,,,,
順行,自強270,往:花蓮,每日行駛。,3390-員林,06:49,,,,,
順行,區間快2702,往:彰化,每日行駛。※配合集集線隧道及邊坡改善工程施工，本公司集集站至車埕站間路線停駛，改以公路客運接駁。,3390-員林,06:58,,,,,
順行,區間2138,往:三義,每日行駛。,3390-員林,07:06,,,,,
順行,自強(3000)280,往:花蓮,每日行駛。本列次不發售無座票，非持本班次車票旅客，請勿搭乘。 第6節為騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,07:16,,,,,▲ reserved
順行,區間快2004,往:臺中,每日行駛。,3390-員林,07:38,,,,,
順行,區間2518,往:新竹,每日行駛。,3390-員林,07:46,,,2200-大甲,08:48,
順行,區間2144,往:北湖,每日行駛。,3390-員林,07:53,,,,,
順行,自強(3000)108,往:七堵,每日行駛。本班次第6節為騰雲座艙、第9-11節車廂為自由座車廂，非持本班次車票旅客，請勿搭乘。  第6節騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,08:03,,,,,▲ reserved
順行,區間3118,往:后里,每日行駛。,3390-員林,08:22,,,,,
順行,自強112,往:基隆,每日行駛。本班次第12車為親子車廂，不發售無座票，非持親子車廂車票旅客，或不符合親子、孕婦身分旅客請勿進入搭乘。乘車時須配合證件正本(如媽媽手冊、可證明孩童年紀等證件)查驗。,3390-員林,08:57,,,2200-大甲,09:48,
順行,區間2154,往:基隆,每日行駛。,3390-員林,09:00,,,,,
順行,區間3128,往:后里,每日行駛。,3390-員林,09:28,,,,,
順行,區間3132,往:北湖,每日行駛。,3390-員林,09:50,,,,,
順行,區間快1006,往:七堵,每日行駛。,3390-員林,10:00,,,2200-大甲,10:49,
順行,自強114,往:七堵,每日行駛。本班次第12車為親子車廂，不發售無座票，非持親子車廂車票旅客，或不符合親子、孕婦身分旅客請勿進入搭乘。乘車時須配合證件正本(如媽媽手冊、可證明孩童年紀等證件)查驗。,3390-員林,10:14,,,,,
順行,區間3138,往:后里,每日行駛。,3390-員林,10:31,,,,,
順行,普悠瑪178,往:松山,每日行駛。本班次不發售無座票，非持本班次車票旅客，請勿搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,10:57,,,2200-大甲,11:42,▲ reserved
順行,區間2174,往:瑞芳,每日行駛。,3390-員林,11:02,,,,,
